Domain,Timestamp,Detected,Clean,Suspicious,Malware,Malicious,ADMINUSLabs,AegisLab WebGuard,AlienVault,Antiy-AVL,Avira,Baidu-International,BitDefender,Blueliv,C-SIRT,Certly,CLEAN MX,Comodo Site Inspector,CyberCrime,CyRadar,desenmascara.me,DNS8,Dr.Web,Emsisoft,ESET,Forcepoint ThreatSeeker,Fortinet,FraudScore,FraudSense,G-Data,Google Safebrowsing,K7AntiVirus,Kaspersky,Malc0de Database,Malekal,Malware Domain Blocklist,Malwarebytes hpHosts,Malwared,MalwareDomainList,MalwarePatrol,malwares.com URL checker,Nucleon,OpenPhish,Opera,Phishtank,Quttera,Rising,SCUMWARE.org,SecureBrain,securolytics,Spam404,Sucuri SiteCheck,Tencent,ThreatHive,Trustwave,Virusdie External Site Scan,VX Vault,Web Security Guard,Webutation,Yandex Safebrowsing,ZCloudsec,ZDB Zeus,ZeroCERT,Zerofox,ZeusTracker,zvelo,AutoShun,Netcraft,NotMining,PhishLabs,Sophos,StopBadware,URLQuery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lemoh4p4.beget.tech/amd/amd2.exe,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;suspicious site,False;clean site,False;clean site,True;malware site,True;malicious site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,True;malicious site;http://malc0de.com/database/index.php?search=lemoh4p4.beget.tech,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=lemoh4p4.beget.tech,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://lemoh4p4.beget.tech/amd/amd2.exe,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=lemoh4p4.beget.tech,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lashawnbarber.com/lashawn/jo.exe,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;suspicious site,True;malicious site,False;clean site,True;malware site,True;malicious site,True;malware site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,True;malware site,True;malicious site;http://malc0de.com/database/index.php?search=lashawnbarber.com,False;clean site,True;malicious site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=lashawnbarber.com,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://lashawnbarber.com/lashawn/jo.exe,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=lashawnbarber.com,False;clean site,True;malicious site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://infodayclubhai.com/apple.exe,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;suspicious site,False;clean site,False;suspicious site,True;malicious site,False;clean site,True;malware site,True;malicious site,True;phishing site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,True;malware site,True;malicious site;http://malc0de.com/database/index.php?search=infodayclubhai.com,False;clean site,True;malicious site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=infodayclubhai.com,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://infodayclubhai.com/apple.exe,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=infodayclubhai.com,False;clean site,True;malicious site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://eleventhhourflight.us/,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;unrated site,True;phishing site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;unrated site,False;clean site;http://malc0de.com/database/index.php?search=eleventhhourflight.us,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=eleventhhourflight.us,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://eleventhhourflight.us/,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=eleventhhourflight.us,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://lipairfoods.com/,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;suspicious site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;unrated site,False;clean site;http://malc0de.com/database/index.php?search=lipairfoods.com,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=lipairfoods.com,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://lipairfoods.com/,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=lipairfoods.com,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://shangde-intl.com/,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;unrated site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;unrated site,False;clean site;http://malc0de.com/database/index.php?search=shangde-intl.com,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=shangde-intl.com,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://shangde-intl.com/,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=shangde-intl.com,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://plumberspro.us/SAM/samora/WebPanel/login.php,,,,,,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;suspicious site,False;clean site,True;malware site,False;clean site,True;malicious site,True;phishing site,False;clean site,False;clean site,True;malware site,True;malicious site,False;clean site,False;unrated site,False;clean site;http://malc0de.com/database/index.php?search=plumberspro.us,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=plumberspro.us,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://plumberspro.us/SAM/samora/WebPanel/login.php,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=plumberspro.us,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://plumberspro.us/,,,,,,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;suspicious site,False;clean site,True;malware site,False;clean site,True;malicious site,True;phishing site,False;clean site,False;clean site,True;malware site,True;malicious site,False;clean site,False;unrated site,False;clean site;http://malc0de.com/database/index.php?search=plumberspro.us,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=plumberspro.us,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;suspicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://plumberspro.us/,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=plumberspro.us,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://plumberspro.us/SAM/WebPanel/login.php,,,,,,False;clean site,True;malicious site,False;clean site,False;clean site,True;phishing site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;suspicious site,False;clean site,True;malware site,False;clean site,True;malicious site,True;phishing site,False;clean site,False;clean site,True;malware site,True;malicious site,False;clean site,True;malware site,False;clean site;http://malc0de.com/database/index.php?search=plumberspro.us,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=plumberspro.us,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://plumberspro.us/SAM/WebPanel/login.php,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=plumberspro.us,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://plumberspro.us/thirsty/WebPanel/login.php,,,,,,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;suspicious site,False;clean site,True;malware site,False;clean site,True;malicious site,True;phishing site,False;clean site,False;clean site,True;malware site,True;malicious site,False;clean site,False;unrated site,False;clean site;http://malc0de.com/database/index.php?search=plumberspro.us,False;clean site,False;clean site,True;malware site,False;clean site,False;clean site;http://www.malwaredomainlist.com/mdl.php?search=plumberspro.us,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,True;malicious site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;http://yandex.com/infected?l10n=en&url=http://plumberspro.us/thirsty/WebPanel/login.php,False;clean site,False;clean site,False;clean site,False;clean site,False;clean site;https://zeustracker.abuse.ch/monitor.php?host=plumberspro.us,False;clean site,False;unrated site,False;unrated site,False;unrated site,False;unrated site,True;malicious site,False;unrated site,False;unrated site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
